Date,Income,Housing Expenses,Food,Transportation,Health and Medical Expenses,Education,Entertainment and Hobbies,Personal Expenses,Other Expenses
2023-09-01,3000,450.0,300,150.0,800.0,,,,250.0
2023-09-02,3000,,500,,,,,,150.0
2023-09-03,3000,,700,,,,1500.0,,350.0
2023-09-04,3000,,300,,,,,,
2023-09-05,3000,,200,,,,,150.0,
2023-09-06,3000,250.0,150,,1400.0,,,,
2023-09-07,3000,,2000,250.0,,,,,
2023-09-08,3000,,1500,,,250.0,,,
2023-09-09,3000,,2000,,,,,450.0,
2023-09-10,3000,,500,,,,,,
2023-09-11,3000,130.0,300,,2600.0,,,,
2023-09-12,3000,,300,,,,,,
2023-09-13,3000,,500,,,,,,
2023-09-14,3000,260.0,700,,,,,,
2023-09-15,3000,,300,,,,,,
2023-09-16,3000,,200,,,,,,
2023-09-17,3000,,150,,,,,,
2023-09-18,3000,,2000,,,,,,
2023-09-19,3000,1400.0,1500,,,,2100.0,,
2023-09-20,3000,,2000,,,,,,
2023-09-21,3000,,500,,,,,,
2023-09-22,3000,,300,,,,,,
2023-09-23,3000,,300,130.0,,,,,
2023-09-24,3000,,500,,,,,,
2023-09-25,3000,,700,,,,,,
2023-09-26,3000,,300,,,,,,
2023-09-27,3000,,200,,,,,,
2023-09-28,3000,,150,,,,,,
2023-09-29,3000,,2000,,,,,,
2023-09-30,3000,,1500,,,,,,
